img,source,desc
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/kissling/kissling1.png,"Campagnes Scientifiques: Poissons, Des Campagnes Du Yacht Princesse-Alice (1901-1910) [1911] illustrated by Emma Kissling","1.Bathytroctes Rostratus
2.Bathytroctes grimaldii
3.Bathytroctes sp.
4.Asquamiceps velaris
5.Opisthoproctus grimaldii
6.Omosudis elongatus
7.Myctophum (Myctophum) punctatum,
8.Myctophum (Diaphus) gemellari
9.Myctophum (Lampanyctus) dofleini"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/kissling/kissling2.png,"Campagnes Scientifiques: Poissons, Des Campagnes Du Yacht Princesse-Alice (1901-1910) [1911] illustrated by Emma Kissling","1.Gonostoma bathyphilum
2.Gonostoma polyphos
3.Cyclothone microdon
4.Vinciguerria lucetia
5.Sternoptyx diaphana
6.Exocætus fucorum
7.Paralepis brevis
8.Benthalbella infans"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/kissling/kissling3.png,"Campagnes Scientifiques: Poissons, Des Campagnes Du Yacht Princesse-Alice (1901-1910) [1911] illustrated by Emma Kissling","1.Photostomias guernei
2.Malacosteus niger
3.Eustomias braueri
4.Trichostomias vaillanti
5.Nematostomias gladiator
6.Astronesthes decimus"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/kissling/kissling4.png,"Campagnes Scientifiques: Poissons, Des Campagnes Du Yacht Princesse-Alice (1901-1910) [1911] illustrated by Emma Kissling","1.Stomias boa
2.Cyema atrum
3.Gastrostomus bairdi
4.Anotopterus pharao"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/kissling/kissling5.png,"Campagnes Scientifiques: Poissons, Des Campagnes Du Yacht Princesse-Alice (1901-1910) [1911] illustrated by Emma Kissling","1.Melamphaes mizolepis
2.Poromitrella nigriceps
3.Caulolepis longidens
4.Hoplostethus mediterraneum
5.Platyberyx opalescens
6.Scopeloberyx opercularis
7.Diretmus argenteus"
https://raw.githubusercontent.com/stevenrossi/fishpoasting/main/images/kissling/kissling6.png,"Campagnes Scientifiques: Poissons, Des Campagnes Du Yacht Princesse-Alice (1901-1910) [1911] illustrated by Emma Kissling","1.Melanonius gracilis
2.Macrurus violaceus
3.Barathrites iris
4.Leucochlamys crytophthalmus
5.Parabrotula plagiophthalmus
6.Pachycara obesa"